"","latitude","longitude","acq_time","acq_date","bright","acq_time_std","time"
"136",41.881,-122.53,645,"2018-07-06",289.1,"10:45:00",2018-07-06 10:45:00
"137",41.934,-122.539,645,"2018-07-06",289.4,"10:45:00",2018-07-06 10:45:00
"138",41.932,-122.564,645,"2018-07-06",290.8,"10:45:00",2018-07-06 10:45:00
"139",41.93,-122.592,645,"2018-07-06",289.8,"10:45:00",2018-07-06 10:45:00
"140",41.947,-122.541,645,"2018-07-06",296.7,"10:45:00",2018-07-06 10:45:00
"141",41.945,-122.567,645,"2018-07-06",293.8,"10:45:00",2018-07-06 10:45:00
"142",41.944,-122.594,645,"2018-07-06",290.2,"10:45:00",2018-07-06 10:45:00
"143",41.96,-122.544,645,"2018-07-06",288,"10:45:00",2018-07-06 10:45:00
"144",41.958,-122.57,645,"2018-07-06",290.3,"10:45:00",2018-07-06 10:45:00
"145",41.966,-122.604,645,"2018-07-06",288.7,"10:45:00",2018-07-06 10:45:00
"238",41.962,-122.543,1055,"2018-07-06",285.2,"17:35:00",2018-07-06 17:35:00
"239",41.949,-122.616,1055,"2018-07-06",285.8,"17:35:00",2018-07-06 17:35:00
"408",41.983,-122.589,1845,"2018-07-06",295.6,"06:45:00",2018-07-06 06:45:00
"409",41.972,-122.592,1845,"2018-07-06",283.1,"06:45:00",2018-07-06 06:45:00
"410",41.968,-122.551,1845,"2018-07-06",271,"06:45:00",2018-07-06 06:45:00
"411",41.934,-122.559,1845,"2018-07-06",278.6,"06:45:00",2018-07-06 06:45:00
"546",41.94,-122.521,2025,"2018-07-06",298.7,"09:45:00",2018-07-06 09:45:00
"547",41.928,-122.567,2025,"2018-07-06",296.6,"09:45:00",2018-07-06 09:45:00
"548",41.956,-122.527,2025,"2018-07-06",295.1,"09:45:00",2018-07-06 09:45:00
"549",41.944,-122.573,2025,"2018-07-06",288,"09:45:00",2018-07-06 09:45:00
"550",41.933,-122.614,2025,"2018-07-06",270.6,"09:45:00",2018-07-06 09:45:00
"551",41.972,-122.532,2025,"2018-07-06",290.4,"09:45:00",2018-07-06 09:45:00
"552",41.96,-122.58,2025,"2018-07-06",275.2,"09:45:00",2018-07-06 09:45:00
"553",41.947,-122.531,2025,"2018-07-06",296.6,"09:45:00",2018-07-06 09:45:00
"554",41.935,-122.577,2025,"2018-07-06",291.3,"09:45:00",2018-07-06 09:45:00
"555",41.963,-122.536,2025,"2018-07-06",293.3,"09:45:00",2018-07-06 09:45:00
"556",41.95,-122.583,2025,"2018-07-06",277.2,"09:45:00",2018-07-06 09:45:00
"557",41.979,-122.543,2025,"2018-07-06",283.6,"09:45:00",2018-07-06 09:45:00
"593",41.968,-122.566,2200,"2018-07-06",281.5,"12:40:00",2018-07-06 12:40:00
"594",41.983,-122.568,2200,"2018-07-06",288,"12:40:00",2018-07-06 12:40:00
"595",41.982,-122.608,2200,"2018-07-06",304.9,"12:40:00",2018-07-06 12:40:00
"596",41.999,-122.572,2200,"2018-07-06",289.7,"12:40:00",2018-07-06 12:40:00
"597",41.977,-122.572,2200,"2018-07-06",290.5,"12:40:00",2018-07-06 12:40:00
"598",41.975,-122.611,2200,"2018-07-06",302.7,"12:40:00",2018-07-06 12:40:00
"599",41.992,-122.576,2200,"2018-07-06",295.3,"12:40:00",2018-07-06 12:40:00
"600",41.991,-122.613,2200,"2018-07-06",304.6,"12:40:00",2018-07-06 12:40:00
"749",41.932,-122.474,550,"2018-07-07",297,"09:10:00",2018-07-07 09:10:00
"750",41.929,-122.49,550,"2018-07-07",292.1,"09:10:00",2018-07-07 09:10:00
"751",41.945,-122.462,550,"2018-07-07",291.6,"09:10:00",2018-07-07 09:10:00
"752",41.942,-122.477,550,"2018-07-07",294,"09:10:00",2018-07-07 09:10:00
"753",41.939,-122.493,550,"2018-07-07",294.6,"09:10:00",2018-07-07 09:10:00
"754",41.937,-122.509,550,"2018-07-07",290,"09:10:00",2018-07-07 09:10:00
"755",41.956,-122.465,550,"2018-07-07",292.6,"09:10:00",2018-07-07 09:10:00
"756",41.953,-122.481,550,"2018-07-07",291.9,"09:10:00",2018-07-07 09:10:00
"757",41.95,-122.497,550,"2018-07-07",292.4,"09:10:00",2018-07-07 09:10:00
"758",41.947,-122.513,550,"2018-07-07",293.3,"09:10:00",2018-07-07 09:10:00
"759",41.944,-122.528,550,"2018-07-07",290.7,"09:10:00",2018-07-07 09:10:00
"760",41.928,-122.609,550,"2018-07-07",291.1,"09:10:00",2018-07-07 09:10:00
"761",41.926,-122.624,550,"2018-07-07",297.1,"09:10:00",2018-07-07 09:10:00
"762",41.923,-122.64,550,"2018-07-07",287.5,"09:10:00",2018-07-07 09:10:00
"763",41.966,-122.468,550,"2018-07-07",293.8,"09:10:00",2018-07-07 09:10:00
"764",41.963,-122.483,550,"2018-07-07",292.3,"09:10:00",2018-07-07 09:10:00
"765",41.96,-122.499,550,"2018-07-07",291.6,"09:10:00",2018-07-07 09:10:00
"766",41.957,-122.516,550,"2018-07-07",294.2,"09:10:00",2018-07-07 09:10:00
"767",41.954,-122.531,550,"2018-07-07",291.6,"09:10:00",2018-07-07 09:10:00
"768",41.936,-122.627,550,"2018-07-07",288.4,"09:10:00",2018-07-07 09:10:00
"769",41.976,-122.471,550,"2018-07-07",296.4,"09:10:00",2018-07-07 09:10:00
"770",41.973,-122.487,550,"2018-07-07",293.5,"09:10:00",2018-07-07 09:10:00
"771",41.967,-122.519,550,"2018-07-07",291.3,"09:10:00",2018-07-07 09:10:00
"772",41.949,-122.616,550,"2018-07-07",289.7,"09:10:00",2018-07-07 09:10:00
"773",41.946,-122.631,550,"2018-07-07",288,"09:10:00",2018-07-07 09:10:00
"774",41.986,-122.475,550,"2018-07-07",294.7,"09:10:00",2018-07-07 09:10:00
"775",41.983,-122.491,550,"2018-07-07",294.6,"09:10:00",2018-07-07 09:10:00
"776",41.977,-122.521,550,"2018-07-07",290.3,"09:10:00",2018-07-07 09:10:00
"777",41.968,-122.571,550,"2018-07-07",292.7,"09:10:00",2018-07-07 09:10:00
"778",41.985,-122.463,550,"2018-07-07",290.8,"09:10:00",2018-07-07 09:10:00
"779",41.982,-122.479,550,"2018-07-07",296.7,"09:10:00",2018-07-07 09:10:00
"780",41.992,-122.482,550,"2018-07-07",293.6,"09:10:00",2018-07-07 09:10:00
"781",41.989,-122.498,550,"2018-07-07",296.1,"09:10:00",2018-07-07 09:10:00
